ANIO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_ENTAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2022|2|G|COTOPAXI|PUJILI|988511,7500|371902,1300|0,0000|1071638,4600|363499,9200|0,0000|7950,6200|1443089,0000|1428883,5200
2022|4|K|IMBABURA|IBARRA|0,0000|1510711,0700|0,0000|589780,4500|260431,5700|0,0000|13231,8200|868707,9200|1815430,9300
2022|2|G|GUAYAS|SALITRE|891675,3200|623409,3200|0,0000|999476,5400|438620,7000|120,0000|1110,8000|1439328,0400|1606220,9200
2022|2|Q|GUAYAS|GUAYAQUIL|9782899,0400|126786081,3700|4483,0100|42123394,9500|30336078,3200|511111,2500|321858,3300|73324362,6600|137840854,5400
2022|4|C|GUAYAS|SAMBORONDON|39113,1700|18410335,5200|6482766,3200|8560379,5800|10335676,0500|4350823,7600|36558,2700|23294027,2800|28759758,6000
2022|4|C|GALAPAGOS|SAN CRISTOBAL|0,0000|2102,0000|0,0000|14543,5600|7220,6400|0,0000|183,8400|21948,0400|30401,5400
2022|3|S|BOLIVAR|GUARANDA|651025,2400|398710,4500|10410,0000|738207,8400|356734,8300|0,0000|37596,2500|1132538,9200|1134551,2700
2022|3|H|BOLIVAR|SAN MIGUEL|0,0000|59,5700|0,0000|1636,0300|17,4000|0,0000|0,0000|1653,4300|1226,3300
2022|9|N|LOJA|LOJA|0,0000|109576,1800|42577,1500|579948,1000|151972,4500|3074,6700|17362,7900|752358,0100|2178331,5600
2022|6|C|COTOPAXI|LATACUNGA|81433,1400|10683155,2200|0,0000|8379684,9100|4176952,9600|466939,0300|250401,5100|13273978,4100|16711236,8200
2022|4|O|PICHINCHA|CAYAMBE|0,0000|161513,2000|0,0000|502267,4700|130296,1600|0,0000|15,5000|632579,1300|169670,8100
2022|7|G|PICHINCHA|PUERTO QUITO|0,0000|366923,5700|0,0000|188893,9100|299633,3800|0,0000|58646,5100|547173,8000|534688,9500
2022|7|Q|CAÑAR|AZOGUES|0,0000|506787,8100|0,0000|263789,0000|432494,7100|0,0000|16452,1300|712735,8400|546545,6000
2022|7|H|TUNGURAHUA|QUERO|0,0000|62727,4000|0,0000|31808,5600|11509,6800|0,0000|3486,1800|46804,4200|74543,3900
2022|9|G|CHIMBORAZO|CHAMBO|0,0000|150716,7000|0,0000|409333,4500|161443,8200|0,0000|176,0000|570953,2700|587281,5400
2022|3|F|SANTA ELENA|SALINAS|83356,9400|849436,1500|0,0000|526979,5400|26072,7700|0,0000|74013,1000|627065,4100|1268754,0500
2022|6|A|CARCHI|MONTUFAR|0,0000|5608812,1900|6676,5600|649650,3500|4205116,0000|6298,0900|45917,7600|4906982,2000|5900454,5400
2022|2|M|PICHINCHA|RUMIÑAHUI|3669643,0600|875166,6000|15053,0700|2668510,0600|419295,2000|47899,1300|26702,6000|3162406,9900|4871982,9800
2022|2|G|PICHINCHA|QUITO|1319825613,0200|358278349,4400|32428174,0300|898815261,4000|234775410,2200|474169198,3800|3234224,4700|1626222333,0800|1850520633,0900
2022|3|N|CHIMBORAZO|RIOBAMBA|2513515,8500|56408,3200|400,0000|651241,6500|162512,6400|0,0000|10836,7700|824591,0600|2716552,8700
2022|6|S|PASTAZA|PASTAZA|700,0000|266452,9400|0,0000|329117,3500|133515,8200|2799,3200|50229,0600|515661,5500|793835,7300
2022|5|O|GALAPAGOS|SAN CRISTOBAL|0,0000|638897,8800|0,0000|317156,9700|51927,7000|0,0000|1865,9500|370950,6200|665143,8000
2022|7|P|MANABI|CHONE|0,0000|109657,0000|0,0000|44795,3000|24015,4800|0,0000|528,1000|69338,8800|119776,5600
2022|4|C|AZUAY|CUENCA|24789,4800|37961717,4200|14488136,2300|58190390,0000|24458458,9800|63446792,3000|639463,9600|146934198,4300|184977818,6500
2022|3|X|COTOPAXI|LATACUNGA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|6|G|COTOPAXI|PUJILI|237,3300|1100333,0500|0,0000|1910188,2700|904766,8600|0,0000|10096,3100|2825051,4400|2507897,4200
2022|8|A|EL ORO|LAS LAJAS|0,0000|12158,0900|0,0000|5821,8800|39037,4500|0,0000|0,0000|44859,3300|14553,5400
2022|7|G|PICHINCHA|QUITO|1461981,4700|381332116,8300|35726957,7800|1018583738,7900|260009955,2800|570610618,5900|4965351,9300|1873883074,4300|2169382122,9200
2022|8|A|MANABI|JAMA|0,0000|1073986,8800|0,0000|146870,6700|546738,6400|0,0000|30897,2700|724506,5800|1086667,6900
2022|8|K|PICHINCHA|RUMIÑAHUI|0,0000|286989,0600|0,0000|291440,1700|104861,6600|0,0000|24812,4100|421114,2400|458387,7900
2022|7|C|COTOPAXI|PANGUA|0,0000|194992,6800|0,0000|11562,2600|40554,9900|0,0000|0,0000|52117,2500|195509,5500
2022|2|G|LOJA|PALTAS|569370,0900|510667,8300|0,0000|480886,5600|387989,5400|0,0000|59,0000|868935,1000|1084631,3600
2022|6|G|AZUAY|PAUTE|0,0000|2513253,8900|5934,4200|2039070,7700|1744694,3400|136034,7500|5488,2700|3925288,1300|4276533,8400
2022|7|P|PICHINCHA|QUITO|0,0000|36224177,2800|161575,3100|23232250,6000|10432439,9100|506851,1300|617231,7000|34828978,1400|41527044,8600
2022|1|H|MORONA SANTIAGO|GUALAQUIZA|24580,6500|99623,5300|0,0000|82172,9700|79599,9300|0,0000|35,0000|161807,9000|128472,9200
2022|5|G|MANABI|PUERTO LOPEZ|2500,0000|265559,7900|0,0000|927543,5600|236626,6500|822,9100|19517,7500|1184510,8700|1248523,1900
2022|6|I|IMBABURA|SAN MIGUEL DE URCUQUI|0,0000|120112,4900|0,0000|51678,4900|70546,9900|0,0000|837,7500|123063,2300|180780,3400
2022|3|H|CARCHI|TULCAN|891520,6200|4300031,7000|104334,8000|1160914,2200|3214695,7300|3376,0500|48510,2000|4427496,2000|5405901,5200
2022|4|G|LOJA|GONZANAMA|0,0000|57597,0600|0,0000|79443,6100|71833,2000|0,0000|68,0000|151344,8100|97187,6400
2022|1|G|EL ORO|ZARUMA|1375113,7000|1165163,6000|0,0000|1433444,5300|926335,7000|579577,8800|4724,9900|2944083,1000|2580217,8800
2022|1|O|EL ORO|ATAHUALPA|0,0000|841,1400|0,0000|15968,7600|3665,4000|0,0000|400,0000|20034,1600|841,1400
2022|9|B|EL ORO|PORTOVELO|0,0000|1119867,0700|4145476,5000|2752386,7300|807881,3300|0,0000|15878,9400|3576147,0000|6259897,9900
2022|6|S|LOS RIOS|BABAHOYO|1395,0000|717352,3300|0,0000|523631,2100|431810,6800|621,9300|4012,0100|960075,8300|1367908,1200
2022|7|M|GUAYAS|SAMBORONDON|26785,7100|1956655,0500|798422,6400|8764643,0700|2273097,6200|578107,6400|91029,3600|11712931,9300|20898734,7000
2022|7|S|GUAYAS|GUAYAQUIL|39595,3500|26602910,5600|20942596,1800|54013159,7400|10202737,9700|4350546,3500|326725,2800|70202474,8900|91598899,3500
2022|9|G|CHIMBORAZO|GUANO|5000,0000|125217,8500|0,0000|648257,1100|107679,5700|3055,0800|2530,7500|761522,5100|744246,7600
2022|2|M|CARCHI|MONTUFAR|175485,9300|7200,0700|0,0000|110239,3600|15863,8100|122,1900|13210,2500|139435,6100|234601,0500
2022|8|I|ESMERALDAS|ESMERALDAS|0,0000|310016,5400|0,0000|364197,2100|204379,7400|4744,2200|6354,3300|579675,5000|875099,0100
2022|9|A|CHIMBORAZO|PALLATANGA|0,0000|5698,0000|0,0000|274,3200|3173,4000|0,0000|0,0000|3447,7200|5868,0000
2022|6|G|EL ORO|PIÑAS|0,0000|4532198,3400|1468590,0500|5043558,6200|4914692,5000|310745,5200|36039,8800|10305036,5200|10722110,9900
2022|5|L|IMBABURA|IBARRA|8367,8400|240527,9000|0,0000|644544,8800|359447,1800|172170,4300|19128,6200|1195291,1100|1615291,1300
2022|1|G|ZAMORA CHINCHIPE|ZAMORA|3219426,6800|1454051,6100|0,0000|3228256,7600|1211050,1400|27036,8800|8197,9000|4474541,6800|4693771,2800
2022|4|M|CAÑAR|LA TRONCAL|0,0000|27697,5100|0,0000|230037,1500|33538,2800|0,0000|224,2500|263799,6800|668316,8300
2022|4|C|PICHINCHA|MEJIA|0,0000|6617520,7300|4937473,2400|6288931,9700|8096289,1700|4000969,4300|40939,4000|18427219,6200|23183478,1000
2022|3|I|MORONA SANTIAGO|SUCUA|61090,7100|37044,2200|0,0000|72347,9800|34862,5000|0,0000|0,0000|107210,4800|101484,9300
2022|6|A|GUAYAS|SANTA LUCIA|0,0000|6422616,6400|0,0000|541905,2000|3942771,7600|369457,4200|77,8000|4854212,1800|6559588,5000
2022|9|H|EL ORO|BALSAS|0,0000|33375,6800|0,0000|17088,8000|4351,2100|0,0000|0,0000|21440,0100|41694,5700
2022|2|G|LOS RIOS|MOCACHE|591625,8600|3261713,8400|0,0000|1215470,6800|2329927,1200|1930,0000|52966,9200|3600294,7200|3905120,3500
2022|4|Q|EL ORO|HUAQUILLAS|0,0000|60343,0600|0,0000|31045,7300|44111,5600|0,0000|1580,0000|76737,2900|72754,5000
2022|1|C|MANABI|SUCRE|23193,4300|338550,0200|10357972,8200|852838,1800|9433648,7800|77038,5300|29709,3500|10393234,8400|10724087,5900
2022|9|N|COTOPAXI|SALCEDO|0,0000|1396,6600|0,0000|59383,9100|4076,3500|0,0000|75,7500|63536,0100|149628,8700
2022|2|G|EL ORO|MACHALA|37462392,7100|59819485,9000|45631101,9500|39113267,7300|91104626,6700|8545893,3300|641067,9000|139404855,6300|148443979,9000
2022|8|N|LOS RIOS|VENTANAS|0,0000|28812,0400|0,0000|12686,9900|8285,6800|0,0000|6245,5500|27218,2200|36514,2100
2022|2|G|TUNGURAHUA|PATATE|529744,3400|377876,6300|0,0000|530952,1500|328674,1000|0,0000|2461,0400|862087,2900|908230,6900
2022|3|I|ESMERALDAS|ATACAMES|220075,1900|61678,1700|0,0000|164273,3800|84875,1800|0,0000|4632,8300|253781,3900|313248,4600
2022|2|C|PASTAZA|PASTAZA|762712,0300|115037,6800|0,0000|314894,8300|116429,9800|9911,0800|13227,6600|454463,5500|887517,7400
2022|6|G|CAÑAR|AZOGUES|1065,3600|5215415,3400|100088,8000|9941170,4500|4491968,6000|4046,8300|19262,9800|14456448,8600|15937736,6900
2022|1|H|GUAYAS|GUAYAQUIL|71634423,6900|77192384,6800|24772263,1800|59607522,4000|46712025,7300|5353301,2300|631917,7800|115798918,9900|177704253,0100
2022|4|G|LOS RIOS|BUENA FE|0,0000|4540902,4100|877911,0500|4202586,1600|3787384,4700|12968,3700|149445,6800|8154614,9100|9308101,0600
2022|8|J|ZAMORA CHINCHIPE|EL PANGUI|0,0000|0,0000|0,0000|19369,2100|0,0000|0,0000|0,0000|19369,2100|12852,8000
2022|8|K|GUAYAS|GUAYAQUIL|56464,5200|34603841,5500|376888,2200|78101754,5200|16320693,5600|25186,9100|84704,4600|100114316,2800|129569241,1000
2022|9|C|GUAYAS|SAN JACINTO DE YAGUACHI|0,0000|41870033,8700|19761557,8600|4387135,2200|29433344,7100|33314028,2900|46564,8000|67273711,4200|62709298,6100
2022|5|G|LOS RIOS|BUENA FE|0,0000|4797180,7300|658034,4500|4572476,3100|4313286,0100|13986,9700|339852,2700|9239601,5600|9883320,3600
2022|6|C|SANTA ELENA|SANTA ELENA|0,0000|5236357,0600|852222,8500|2754697,7800|3623974,2700|51987,8100|16410,3600|6447070,2200|7786912,6900
2022|3|B|LOJA|PALTAS|0,0000|122,0000|0,0000|822,4000|17340,0700|0,0000|0,0000|18162,4700|167,0100
2022|3|R|MORONA SANTIAGO|GUALAQUIZA|8976,7900|0,0000|0,0000|1654,9400|0,0000|0,0000|0,0000|1654,9400|8976,8100
2022|8|F|GUAYAS|SAN JACINTO DE YAGUACHI|0,0000|2107,5200|0,0000|346987,0400|84675,1500|0,0000|214,7800|431876,9700|745636,8600
2022|8|G|GUAYAS|MILAGRO|0,0100|23429084,8900|1432319,5000|16408577,9300|14482136,9600|972493,9000|46222,2800|31940202,9100|42030150,7400
2022|5|S|GALAPAGOS|SANTA CRUZ|0,0000|26697,1900|16984,0000|34542,5600|8696,6800|0,0000|87,5000|43326,7400|121272,2400
2022|5|G|PICHINCHA|RUMIÑAHUI|6369,1800|114841830,2900|846777,4800|116929343,6800|85193423,6000|24484032,3400|98796,6500|227413286,1100|273689418,8200
2022|9|X|CHIMBORAZO|CHAMBO|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2022|9|M|SUCUMBIOS|SUCUMBIOS|0,0000|0,0000|0,0000|6501,5500|13,5000|0,0000|0,0000|6515,0500|5,0100
2022|9|G|GUAYAS|DAULE|0,0000|7111642,7000|1590003,2900|26557477,9900|7439710,0700|4181240,3400|76420,6200|38265179,0200|43895293,3800
2022|7|F|IMBABURA|OTAVALO|0,0000|168671,1800|0,0000|167422,8800|17024,1600|149,3700|11547,1500|196143,5600|286691,2900
2022|6|G|LOS RIOS|BABA|0,0000|1557028,3300|0,0000|1001671,6500|1340755,2600|0,0000|340,0000|2342766,9100|2494014,7900
2022|6|M|LOS RIOS|VENTANAS|0,0000|153430,9500|0,0000|240027,3600|82688,0000|0,0000|240,0000|322955,3600|663458,5700
2022|7|C|GUAYAS|SAMBORONDON|0,0000|19443999,1300|4399545,1400|6410934,7200|12447544,5000|4132750,7000|52107,0800|23046297,0000|27136231,4700
2022|3|H|ORELLANA|AGUARICO|4092,0400|99856,1500|0,0000|13858,5900|59347,8500|0,0000|169,5500|73375,9900|104110,0400
2022|4|Q|LOJA|ESPINDOLA|0,0000|0,0000|0,0000|18061,2900|0,0000|0,0000|0,0000|18061,2900|18550,9300
2022|3|M|ESMERALDAS|QUININDE|350353,9700|458355,3700|0,0000|358186,2000|106231,0700|6357,9700|11288,1700|482063,4100|988373,1600
2022|5|G|IMBABURA|OTAVALO|3,0000|1078402,9100|325681,4400|8105333,8400|1199088,1000|1111684,4400|67469,6500|10483576,0300|10293579,5200
2022|3|H|IMBABURA|SAN MIGUEL DE URCUQUI|3874,6100|33553,6500|0,0000|4736,6600|27944,9000|0,0000|1282,5000|33964,0600|37438,2600
